2023-12-19 14:12:278 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (6d4b031c982c924001ad3f790ff1b72b)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:300 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (6d4b031c982c924001ad3f790ff1b72b)] -> css selector: #menu .see-all]
2023-12-19 14:12:374 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (ddc221f8894cc6ea0b3cf1709badd96b)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:397 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (ddc221f8894cc6ea0b3cf1709badd96b)] -> css selector: #menu .see-all]
2023-12-19 14:12:521 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b5ad2b4895e8dd6571dd478e42512f77)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:538 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (b5ad2b4895e8dd6571dd478e42512f77)] -> css selector: #menu .see-all]
2023-12-19 14:12:639 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (6ee9899d34dd10a4c91dcd17691db72f)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:656 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (6ee9899d34dd10a4c91dcd17691db72f)] -> css selector: #menu .see-all]
2023-12-19 14:12:898 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (675c97042429f88c95214ecd81cbc896)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:922 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (675c97042429f88c95214ecd81cbc896)] -> css selector: #menu .see-all]
2023-12-19 14:12:240 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (b6ad1e8e1e45ae7549b0e64c0d6cd1bd)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:259 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (b6ad1e8e1e45ae7549b0e64c0d6cd1bd)] -> css selector: #menu .see-all]
2023-12-19 14:12:58 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (19f56776609320597940dd967ec91616)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:77 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (19f56776609320597940dd967ec91616)] -> css selector: #menu .see-all]
2023-12-19 14:12:759 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (4c829b8602b24bb20efc839de16deee9)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:779 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (4c829b8602b24bb20efc839de16deee9)] -> css selector: #menu .see-all]
2023-12-19 14:12:377 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (0d7177596d4ed902849d7724c38ba08c)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:395 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (0d7177596d4ed902849d7724c38ba08c)] -> css selector: #menu .see-all]
2023-12-19 14:12:149 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (ad4ba296233b2db9932a84af4d91f678)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:165 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (ad4ba296233b2db9932a84af4d91f678)] -> css selector: #menu .see-all]
2023-12-19 14:12:949 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (419fa4b732a52e1f7efeeba4cab6fd24)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:966 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (419fa4b732a52e1f7efeeba4cab6fd24)] -> css selector: #menu .see-all]
2023-12-19 14:12:647 INFO  ComponentsPage :32 - verifyProductsText: [[ChromeDriver: chrome on windows (419fa4b732a52e1f7efeeba4cab6fd24)] -> css selector: div[id='content'] h1]
2023-12-19 14:12:272 INFO  HomePage :43 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (15d0f59f9d157dffc093c06136dc9073)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:288 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (15d0f59f9d157dffc093c06136dc9073)] -> css selector: #menu .see-all]
2023-12-19 14:12:903 INFO  DesktopsPage :24 - getTextFromElement : [[ChromeDriver: chrome on windows (15d0f59f9d157dffc093c06136dc9073)] -> css selector: div[id='content'] h2]
2023-12-19 14:12:262 INFO  HomePage :46 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (eabebba0c9f5ea38f58856ee13daa6e1)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
2023-12-19 14:12:575 INFO  HomePage :31 - selectMenuOptions: [[ChromeDriver: chrome on windows (eabebba0c9f5ea38f58856ee13daa6e1)] -> css selector: #menu .see-all]
2023-12-19 14:12:201 INFO  DesktopsPage :19 - getTextNotebooksAndLaptops: [[ChromeDriver: chrome on windows (eabebba0c9f5ea38f58856ee13daa6e1)] -> css selector: div[id='content'] h2]
2023-12-19 14:12:154 INFO  HomePage :50 - mouseHoverToElementAndClick: [[ChromeDriver: chrome on windows (cd27135c948f4f7abb1ba6cd607203fe)] -> css selector: .dropdown-toggle[href='https://tutorialsninja.com/demo/index.php?route=product/category&path=20']]
